TEAM,Tm,TEAM.MASCOT
BAL,Baltimore Ravens,Ravens
NO,New Orleans Saints,Saints
NE,New England Patriots,Patriots
KC,Kansas City Chiefs,Chiefs
SF,San Francisco 49ers,49ers
DAL,Dallas Cowboys,Cowboys
MIN,Minnesota Vikings,Vikings
SEA,Seattle Seahawks,Seahawks
GB,Green Bay Packers,Packers
TEN,Tennessee Titans,Titans
PHI,Philadelphia Eagles,Eagles
LAR,Los Angeles Rams,Rams
BUF,Buffalo Bills,Bills
TB,Tampa Bay Buccaneers,Buccaneers
ATL,Atlanta Falcons,Falcons
HOU,Houston Texans,Texans
ARI,Arizona Cardinals,Cardinals
CHI,Chicago Bears,Bears
PIT,Pittsburgh Steelers,Steelers
IND,Indianapolis Colts,Colts
DET,Detroit Lions,Lions
LAC,Los Angeles Chargers,Chargers
DEN,Denver Broncos,Broncos
CLE,Cleveland Browns,Browns
OAK,Oakland Raiders,Raiders
NYJ,New York Jets,Jets
NYG,New York Giants,Giants
JAX,Jacksonville Jaguars,Jaguars
CAR,Carolina Panthers,Panthers
WAS,Washington Football Team,Washington
WAS,Washington Redskins,Washington
CIN,Cincinnati Bengals,Bengals
MIA,Miami Dolphins,Dolphins
SD,San Diego Chargers,Chargers
STL,St. Louis Rams,Rams
LV,Las Vegas Raiders,Raiders